@relation 'TrainSet-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-V-R8,65,3,41,63-64,59,45,6,39,38,5,1,27-28,67'

@attribute EDm numeric
@attribute RGm numeric
@attribute El numeric
@attribute SFm numeric
@attribute RTm numeric
@attribute RTd numeric
@attribute RSm numeric
@attribute M1m numeric
@attribute Asm numeric
@attribute SEm numeric
@attribute Km numeric
@attribute ATm numeric
@attribute Em numeric
@attribute ESm numeric
@attribute Rm numeric
@attribute class {aggressive,happy,relaxed,sad}

@data
2.256887,113.648722,0.002933,62.684703,113.634142,62.518038,94.479314,2.378476,2393705.914712,0.731366,35272015343.67444,0.068951,0.116546,0.880795,321.008881,relaxed
2.253148,88.433921,0.002676,94.362046,86.085924,68.52843,89.253502,2.972474,2346329.370831,0.678918,75554403319.7378,0.065587,0.191828,0.848743,1067.107857,relaxed
2.256887,119.443187,0.003616,100.544043,114.042974,85.905084,110.254601,2.642582,3904648.522633,0.699995,103399436220.74861,0.070621,0.219508,0.868536,1128.524831,relaxed
1.36077,75.408754,0.001447,64.670869,59.402697,30.234002,86.884885,3.115732,814144.322307,0.705345,25290317116.135174,0.083949,0.153074,0.85254,681.190181,relaxed
2.783049,132.573614,0.002033,107.989853,118.197619,81.608014,94.493071,2.380754,1543696.11753,0.742048,90724872290.62756,0.077833,0.17247,0.90323,749.775712,sad
1.192843,105.695269,0.001629,49.796342,91.335173,54.897695,112.332119,3.373855,832032.73179,0.673298,67159846040.72956,0.094364,0.103189,0.880456,270.476489,sad
0.199137,129.100276,0.001417,29.977885,101.929735,78.878986,121.384086,3.941486,860247.079287,0.628784,24514354287.91043,0.150339,0.081818,0.887398,80.099393,sad
1.268781,147.240408,0.001451,55.589633,136.737957,77.443041,125.750247,2.931418,1139971.794374,0.684112,40804941380.757675,0.084586,0.121517,0.862642,451.199549,sad
2.010724,105.757867,0.001927,92.307486,93.776651,102.131999,99.768207,4.737928,1722553.813395,0.647971,193146717669.39667,0.06878,0.190419,0.818109,954.516072,sad
1.822399,123.782799,0.002224,82.003389,109.848709,75.427755,94.363906,3.518115,2340264.320575,0.684828,115361061616.95848,0.119741,0.161379,0.879534,470.079282,sad
1.371696,156.887355,0.002376,40.169502,136.082222,93.459172,136.284511,5.290259,2397419.3264,0.608327,58865423853.98601,0.1,0.123462,0.778965,462.335637,sad
1.526718,138.461448,0.001995,53.465109,116.34425,84.063723,112.86183,3.304742,1158599.137595,0.670765,52290017757.374756,0.073061,0.104574,0.858675,174.033019,sad
2.680965,129.355674,0.002614,122.574707,109.759179,70.555189,107.481077,1.282553,2227184.644371,0.830567,97785223947.18929,0.067944,0.180803,0.932528,1426.942618,sad
1.206434,133.44287,0.002249,46.124002,114.396976,81.371162,133.465956,5.400731,1654403.838145,0.613991,71021115533.24815,0.074956,0.138904,0.778571,342.210215,sad
1.692665,110.386486,0.002107,94.46716,102.239417,84.065979,91.003471,1.915426,2025839.695607,0.768072,87852929811.5125,0.078741,0.170667,0.906846,1798.492917,sad
2.077748,138.74903,0.003409,82.311543,129.45667,73.490307,127.311777,3.36077,2834859.488313,0.661808,87171146800.29584,0.070296,0.190064,0.847362,591.233899,sad
1.838235,128.22969,0.001509,64.289954,103.70195,79.472895,119.061373,1.968085,961088.416829,0.764475,63073777001.787674,0.085366,0.122043,0.901841,496.313991,sad
1.988072,126.258108,0.001763,82.933432,114.21475,80.576976,110.746592,2.022666,1210708.678863,0.768262,99009404261.47144,0.071829,0.139359,0.898912,495.576771,sad
0.463623,143.475703,0.001211,32.287831,124.086465,75.213607,111.76322,3.09554,576502.413643,0.696974,20910065299.4386,0.151452,0.073071,0.879019,63.026819,sad
